minionsKilled,role,overallPositionChange,assists,deaths,key,overallPosition,title,totalDamageDealtToChampions,winPercent,kills,neutralMinionsKilledTeamJungle,experience,banRate,largestKillingSpree,goldEarned,totalDamageTaken,playPercent,neutralMinionsKilledEnemyJungle,totalHeal
51,Jungle,-1,10.17,5.36,Trundle,31,Trundle,15913,48.44,5.81,61.44,33.71,1.17,2.84,12156,42693,1.38,8.9,17956
53.8,Jungle,-2,9.15,5.56,Olaf,10,Olaf,18577,50.58,6.85,65.77,27.41,1.74,3.31,12543,39437,2.4,10.36,9173
57,Jungle,4,7.55,6.42,Shaco,12,Shaco,19741,52.23,8.57,56.19,147.01,1.7,3.74,12991,26478,5.54,12.15,5728
47,Jungle,1,10.4,4.91,RekSai,11,Rek'Sai,15083,49.4,5.24,67.93,65.92,2.48,2.74,12107,39626,6.21,12.79,14446
52.7,Jungle,1,8.53,5.84,MonkeyKing,18,Wukong,18796,52.03,7.57,65.37,134.44,0.57,3.53,12588,29370,2.94,7.87,7466
47.6,Jungle,-8,10.96,5.13,Malphite,48,Malphite,16163,46.93,5.14,60.65,32.27,3.04,2.57,11747,27375,0.94,5.98,5499
43.5,Jungle,5,12.11,5.33,Nautilus,46,Nautilus,13980,48.49,4.04,56.04,58.84,4.57,1.95,11180,28774,2.1,6.45,5457
40.5,Jungle,2,11.2,5.01,Gragas,9,Gragas,16011,50.72,4.99,64.89,36.31,4.04,2.56,11782,34161,12.67,9.8,12132
56.6,Jungle,10,9.53,5.96,Ekko,22,Ekko,18689,48.51,6.91,58.31,50.69,9.67,3.21,12305,34233,3.21,7.35,9385
45.1,Jungle,-2,6.6,6.28,Khazix,3,Kha'Zix,20307,50.83,9.36,68.88,61.13,9.38,4.22,13058,31105,12.65,12.6,10534
41.6,Jungle,5,9.49,6.33,LeeSin,30,Lee Sin,16124,46.75,7.01,61.75,92.89,1.75,3.21,12173,31985,18.92,10.52,6739
178,Middle,0,9.23,6.34,AurelionSol,26,Aurelion Sol,24407,50.62,7.32,7.52,46.77,0.52,3.51,12579,26129,0.95,2.36,4629
182.4,Middle,-1,10.7,5.61,Galio,32,Galio,23854,52.08,5.88,5.67,29.05,0.09,2.91,12372,28887,0.74,1.94,8733
166.9,Middle,1,6.89,7,Mordekaiser,44,Mordekaiser,22796,52.31,7.08,10.12,111.72,0.21,3.11,12410,18750,0.25,3.82,10603
186.2,Middle,4,7.52,6.24,Heimerdinger,42,Heimerdinger,25961,51.88,5.04,3.91,206.2,0.13,2.27,12256,19745,0.74,1.43,1497
193.4,Middle,2,9.57,7.22,Karthus,12,Karthus,32057,52.78,7.96,13.13,119.45,0.06,3.06,13524,24750,1.17,2.67,4585
188.3,Middle,-2,7.68,6.46,Corki,29,Corki,27262,47.26,8.01,10.9,37.26,0.21,3.65,13186,22775,0.53,3,2885
195.3,Middle,9,8.28,6.23,Varus,35,Varus,27269,48.12,6.91,8.89,17.42,0.03,3.28,12977,18313,1.04,2.32,2021
180.4,Middle,-7,8.96,5.69,Xerath,16,Xerath,28139,49.8,7.38,7.01,71.14,0.09,3.64,12756,16688,2.72,1.71,1874
185.7,Middle,-3,7.09,6.57,Azir,45,Azir,22626,42.45,5.71,8.85,64.3,3.39,2.58,12243,20479,2.89,1.91,2234
181.2,Middle,-6,6.77,5.66,Chogath,40,Cho'Gath,21301,47.06,7.47,10.31,101.02,0.45,3.79,12767,32110,1.06,3.55,9245
168.8,Middle,2,8.76,6.12,Swain,23,Swain,25996,51.79,6.54,6.5,67.95,7.99,3.13,12238,32537,1.57,1.79,12141
178.3,Middle,0,6.81,6.33,Ryze,43,Ryze,22172,43.11,6.56,8.45,29.07,6.26,3.06,12265,22717,1.99,2.76,3843
191.3,Middle,1,8.98,6.62,Taliyah,7,Taliyah,27033,51.66,7.51,7.97,25.5,1.41,3.42,13019,22247,3.62,2.33,2822
183.2,Middle,2,7.44,6.29,Cassiopeia,14,Cassiopeia,23450,51.53,7.25,9.63,64.61,3.81,3.34,12728,22817,3.63,2.77,6261
158.9,Middle,-5,6.78,6.11,Kassadin,34,Kassadin,22377,47.9,8.55,6.45,31,0.87,4.04,12341,25488,4.13,1.75,4346
176.5,Middle,6,8.15,6.07,Malzahar,24,Malzahar,22951,50.65,6.07,7.45,52.77,27.35,2.79,12340,17869,3.83,1.98,1864
187.4,Middle,2,7.52,6.36,Kayle,38,Kayle,19689,51.58,6.46,11.39,118,1.13,2.93,12691,24584,1.41,3.66,8360
181,Middle,-1,10.75,4.57,Zilean,33,Zilean,20342,52.76,4.53,6.39,64.31,0.82,2.44,11996,23391,1.89,1.9,10966
189.1,Middle,5,8.98,6.06,Lissandra,31,Lissandra,21520,50.34,6.2,6.51,44.08,0.3,2.9,12474,22952,3.55,1.94,4174
184.7,Middle,5,6.97,6.49,Veigar,17,Veigar,24186,48.85,8.43,8.22,51.1,0.54,3.74,13043,18512,4.26,2.29,1990
141.8,Middle,0,6,7.74,Akali,41,Akali,21500,48.69,10.38,5.93,130.13,3.04,4.26,12515,27145,2.65,2.73,4834
195.9,Middle,9,6.82,6.81,Syndra,11,Syndra,25105,50.03,8.3,9.05,52.99,0.39,3.58,13212,18574,5.21,2.57,1738
164.6,Middle,-12,8.02,6.15,Kennen,25,Kennen,24156,51.54,7.63,2.93,42.88,1.93,3.57,12260,21157,2.14,1.31,2239
188.4,Middle,13,9.69,5.7,Orianna,22,Orianna,21961,50.16,6.48,10.29,48.05,0.09,3.19,12702,17674,5.35,2.51,2710
162.5,Middle,2,6.65,6.98,Diana,36,Diana,22497,49.34,8.32,11.25,103.62,1.92,3.65,12674,21679,3.34,3.47,2007
185.4,Middle,0,7.45,6.04,Vladimir,39,Vladimir,22556,46.09,5.82,4.94,38.72,31.52,2.7,11983,30737,3.02,2.03,22076
181.1,Middle,0,7.58,4.87,Anivia,3,Anivia,23913,53.07,7.09,10.5,109.34,2.33,3.86,12842,25805,6.16,2.93,10312
182.3,Middle,0,8.58,5.98,Velkoz,2,Vel'Koz,28768,53.74,7.75,6.37,87.9,0.44,3.69,12956,17983,4.32,1.9,2163
159.2,Middle,2,8.67,6.56,Brand,9,Brand,28087,51.9,7.51,7.4,67.53,3,3.33,12468,22404,4.76,1.95,3134
197,Middle,-1,7.16,5.93,Viktor,5,Viktor,25739,50.07,7.19,9.42,47.38,3.79,3.46,12926,18506,8.4,2.27,1867
140.9,Middle,1,6.27,7.12,Fizz,27,Fizz,21161,49.02,9.52,6.47,80.52,14.6,3.95,12393,21771,6.19,1.81,2048
165.2,Middle,-1,8.02,6.59,Annie,8,Annie,24197,53.47,8.05,5.12,76.59,4.38,3.5,12512,19669,7.26,1.58,2664
180.3,Middle,-5,5.89,6.75,Zed,20,Zed,22139,46.89,8.61,5.4,69.42,48.38,3.68,12848,21883,9,2.14,2181
169.6,Middle,0,9.93,5.83,Lux,10,Lux,24918,49.86,7.34,5.68,66.59,0.32,3.61,12571,15731,8.56,1.61,1787
152.6,Middle,-3,6.42,5.78,Leblanc,15,LeBlanc,22439,48.07,8.77,5.74,46.03,12.7,4.19,12299,19094,11.53,1.72,2190
175,Middle,1,8.3,5.78,Ahri,4,Ahri,24467,52.72,7.37,6.03,80.34,1.08,3.5,12593,19886,12.76,1.98,3891
170.9,Middle,0,7.07,6.98,Katarina,6,Katarina,24527,50.65,10.05,3.21,91.62,2.76,4.45,12909,19833,10.28,1.35,1960
168.1,Middle,0,9.96,5.56,Karma,37,Karma,22329,49.24,5.57,5.77,22.18,1.26,2.71,11928,18358,3.08,1.79,3249
161.5,Middle,11,7.44,6.88,Ekko,13,Ekko,23601,50.2,8.44,6.02,59.41,9.67,3.71,12664,26477,4.82,1.93,5344
174.1,Middle,1,10.26,5.17,Morgana,18,Morgana,22598,52.22,5.96,4.64,94.49,3.4,3,12304,22033,2.47,1.47,2431
210.3,Middle,0,8.82,5.63,Gangplank,1,Gangplank,26519,53.34,7.6,10.31,46.93,27.71,3.65,14642,25078,4.34,3.47,6775
196,Middle,-3,6.49,7.81,Yasuo,21,Yasuo,20716,49.01,7.52,9.36,100.17,32.03,3.1,13097,23679,9.9,5.09,1241
187.2,ADC,0,7.28,7.1,Kalista,17,Kalista,20209,43.91,7.46,9.59,54.66,0.04,3.25,12937,22229,1.15,3.74,3786
191.3,ADC,-1,8.58,6.31,Corki,14,Corki,25392,46.23,7.49,8.83,32.64,0.21,3.42,13280,22363,1.06,2.75,3639
184.7,ADC,-2,8.19,7.38,Quinn,16,Quinn,23793,48.13,8.52,7.5,100.01,0.13,3.55,13434,22592,0.38,3.02,3126
195.3,ADC,-1,8.57,6.37,MissFortune,10,Miss Fortune,25278,53.11,7.9,6.89,46.84,0.15,3.6,13377,20589,6.03,2.31,3112
189.4,ADC,0,6.86,6.91,Draven,12,Draven,23746,49.29,7.95,8.7,116.53,0.44,3.41,14166,22386,7.06,3.11,2505
231.7,ADC,0,9.26,5.69,Sivir,6,Sivir,23481,52.23,6.26,9.08,40.69,0.32,2.99,13845,19197,11.85,2.92,3291
