deaths,experience,winPercent,playPercent,overallPosition,totalDamageDealtToChampions,kills,minionsKilled,neutralMinionsKilledTeamJungle,totalDamageTaken,largestKillingSpree,totalHeal,banRate,role,neutralMinionsKilledEnemyJungle,assists,key,title,overallPositionChange,goldEarned
4.53,71.59,51.72,4.05,2,22793,6.43,187.8,10.75,23851,3.59,7697,0,Middle,2.69,7.21,Anivia,Anivia,3,12648
5.72,46.99,52.73,1.8,23,18750,6.03,187.5,11.98,23327,2.92,8511,0,Middle,3.53,7.03,Kayle,Kayle,7,12422
5.75,35.89,45.48,4.59,27,23020,6.23,193.6,9.21,16916,3.06,1643,0,Middle,2.01,6.72,Viktor,Viktor,-14,12404
5.11,34.01,50.02,1.38,36,22149,5.4,169.9,6.03,17458,2.78,2213,0,Middle,1.74,9.09,Karma,Karma,3,12000
5.2,61.53,50.6,1.45,13,20259,6.92,185.1,10.58,29426,3.66,7754,0,Middle,3.49,6.29,Chogath,Cho'Gath,13,12561
6.2,40.5,50.17,2.5,22,26735,6.98,158,6.71,19589,3.19,1930,0,Middle,1.54,7.92,Brand,Brand,-3,12205
7.15,59.88,48.69,1.36,39,19783,9.32,144,6.63,26860,3.97,4180,0,Middle,2.85,5.82,Akali,Akali,4,12144
5.21,33.28,50.06,1.38,12,23610,6.42,208.2,9.85,24947,3.22,6014,0,Middle,2.89,7.84,Gangplank,Gangplank,-6,13898
6.92,41.53,52.95,5.98,10,22706,8.82,167,6.92,22756,3.78,1842,0,Middle,2.36,6.71,Talon,Talon,-3,12688
5.22,29.38,45.36,6.68,38,19399,5.36,190.1,10.53,16645,2.78,1764,0,Middle,2.2,8.74,Orianna,Orianna,-15,12184
6.48,61.45,49.59,6.6,11,22705,8.93,173.1,3.23,18700,4.13,1778,0,Middle,1.29,6.64,Katarina,Katarina,13,12494
5.75,24.5,47.41,4.76,41,19379,5.36,191.2,7.07,21484,2.58,2807,0,Middle,1.82,8.21,Lissandra,Lissandra,-16,12116
5.95,56.38,51.21,5.53,15,21612,7.12,166.7,5.12,18263,3.37,1698,0,Middle,1.4,7.23,Annie,Annie,-4,12060
6.41,61.89,50.04,4.13,18,21229,7.72,164.9,12.16,19921,3.56,1604,0,Middle,3.57,6.31,Diana,Diana,4,12471
5.99,45.65,51.32,8.17,7,21041,6.24,174.3,8.61,19291,3.01,1968,0,Middle,2.02,8.21,TwistedFate,Twisted Fate,2,12829
6.5,34.75,46.34,3.3,43,20167,7.33,158.6,7.38,24366,3.32,4370,0,Middle,1.96,6.64,Ekko,Ekko,-7,12092
6.42,51.21,50.69,7.86,21,19806,9.02,147.5,7.23,20664,4.01,1841,0,Middle,1.9,5.87,Fizz,Fizz,-4,12249
4.66,25.87,49.26,4.22,42,15825,4.3,169.4,5.51,18500,2.27,1817,0,Middle,1.37,9.63,Lulu,Lulu,-14,11505
7.28,84.23,49.06,10.8,17,19387,6.82,200.8,10.32,22047,2.91,1150,0,Middle,5.04,6.67,Yasuo,Yasuo,-1,12869
4.76,50.37,52.65,3.2,14,21315,5.42,175.3,5.22,20317,2.87,1491,0,Middle,1.42,9.61,Morgana,Morgana,0,12312
4.74,34.52,53.29,19.52,3,23351,6.53,175.4,6.21,14215,3.56,1557,0,Middle,1.58,9.36,Lux,Lux,-1,12380
5.59,20.17,50.55,4.38,6,25258,7.47,191.3,11.19,20846,3.69,2398,0,Middle,3.14,6.89,Corki,Corki,-3,12821
5.32,37.46,46.5,12.29,26,20986,8.09,154.8,6.08,18297,4.05,2072,0,Middle,1.57,6.03,Leblanc,LeBlanc,-8,12065
5.23,54.25,52.64,14.34,4,22971,6.75,178,6.59,18779,3.41,3688,0,Middle,1.88,7.78,Ahri,Ahri,-3,12358
5.87,13.82,46.84,1.68,34,22927,7.09,180.7,6.69,17916,3.44,1792,0,Middle,2.02,7.57,Jhin,Jhin,7,12347
6.07,53.41,52.18,14.93,5,22449,8.58,186.5,6.35,20594,3.9,2004,0,Middle,2.59,5.58,Zed,Zed,-1,12914
6.14,26.09,44.71,0.12,18,20627,6.38,176.1,5.84,19859,3,3069,0,ADC,1.4,7.06,Urgot,Urgot,0,12196
6.03,29.3,51.07,1.38,13,23444,7.17,195.2,7.69,18401,3.37,2879,0,ADC,2.58,8.14,Varus,Varus,2,13089
6.02,31.72,52.63,3.02,8,22929,8.42,184.2,9.27,19716,3.89,3060,0,ADC,2.87,6.7,Twitch,Twitch,3,13072
5.89,31.54,52.86,4.4,12,21572,6.35,190.2,8.12,17785,3.01,2711,0,ADC,2.56,8.46,Ashe,Ashe,2,12694
6.07,90.31,50.51,4.67,15,22214,7.04,190.8,8.65,19830,3.25,2414,0,ADC,2.92,6.44,Draven,Draven,-2,13700
5.93,27.5,51.56,4.83,11,23533,6.71,196.3,6.77,19047,3.19,2841,0,ADC,2.24,8.33,MissFortune,Miss Fortune,-5,12924
5.34,30.13,47.84,7.4,17,19856,6.96,194.9,8.57,19305,3.36,2839,0,ADC,2.62,6.19,Tristana,Tristana,-1,12776
5.25,26.27,52.99,7.68,6,22476,5.81,225.8,8.5,18231,2.89,3166,0,ADC,2.63,8.52,Sivir,Sivir,11,13305
6.29,10.24,52.78,8.11,5,23869,7.59,199.1,11.42,19671,3.43,3299,0,ADC,2.92,7.03,KogMaw,Kog'Maw,-3,13360
5.79,80.4,50.77,8.49,9,21405,6.97,196.8,9.02,18283,3.42,2658,0,ADC,2.71,7.35,Jinx,Jinx,-1,12912
5.92,48.07,51.66,10.95,10,20014,7.31,188.8,9.66,20810,3.49,3773,0,ADC,3.66,6.64,Kalista,Kalista,-3,12703
5.36,35.82,54.03,3.52,1,22802,7.35,203.5,9.71,20948,3.65,3494,0,ADC,3.36,7.22,Graves,Graves,4,13311
4.95,31.68,50.3,26.77,2,25712,6.84,193.1,7.15,17852,3.52,2952,0,ADC,2.44,8.17,Ezreal,Ezreal,-1,12822
5.37,22.99,50.92,7.35,4,24512,7.24,196.9,8.88,20571,3.61,3303,0,ADC,2.7,7.61,Corki,Corki,-1,13058
6.02,88.41,50.02,20.14,16,20893,7.4,188.6,8.35,20791,3.43,3215,0,ADC,2.54,5.85,Vayne,Vayne,-4,12770
5.47,14.32,50.89,12.19,3,24085,7.44,189.4,6.41,17720,3.68,2750,0,ADC,2.05,8.33,Jhin,Jhin,6,12867
5.67,34.01,49.32,18.13,14,22763,5.92,202.1,8.12,18306,2.89,2588,0,ADC,2.34,7.06,Caitlyn,Caitlyn,-4,12714
5.48,47.41,49.14,40.71,7,21723,6.97,211.9,9.57,19585,3.38,3057,0,ADC,2.96,6.79,Lucian,Lucian,-3,13230
6.12,18.21,45.69,0.11,24,12739,2.25,53.5,1.51,24036,0.89,5697,0,Support,0.53,12.55,Galio,Galio,-1,10167
6.2,14.84,40.61,0.17,25,8996,2.06,44.5,3.19,25208,0.78,4546,0,Support,1.21,11.95,Nunu,Nunu,0,9649
5.09,43.08,52.11,1.72,19,6335,1.34,46.4,0.36,26577,0.44,13988,0,Support,0.28,13.33,Taric,Taric,1,9432
6.87,88.03,52.09,2.41,11,21623,3.75,44.6,2.49,16526,1.47,1096,0,Support,1.18,11.23,Zyra,Zyra,4,11236
6.14,81.23,51.23,1.43,10,22604,4.2,49,1.68,15873,1.92,1162,0,Support,0.89,10.66,Velkoz,Vel'Koz,11,11334
