title,totalDamageTaken,minionsKilled,overallPositionChange,assists,banRate,winPercent,neutralMinionsKilledTeamJungle,role,experience,totalDamageDealtToChampions,neutralMinionsKilledEnemyJungle,goldEarned,kills,deaths,largestKillingSpree,playPercent,key,overallPosition,totalHeal
Pantheon,22294,141.8,0,7.08,0.7,50.84,8,Middle,93.8,21554,2.05,12107,8.97,6.79,3.93,0.79,Pantheon,44,2050
Lulu,19321,169.8,0,10,0.15,48.24,6.43,Middle,43.61,16618,1.44,11537,4.61,5.04,2.36,1.62,Lulu,48,2612
Gangplank,25531,214.4,-5,8.71,1.36,50.21,11.44,Middle,56,25749,3.34,14430,6.88,5.47,3.36,1.53,Gangplank,7,7006
Zed,22280,183.6,-7,6.07,85.37,47.32,6.74,Middle,61.59,22788,2.31,13004,8.69,6.69,3.72,6.15,Zed,17,2377
Brand,22675,160.3,0,8.85,5.59,52.47,8.12,Middle,45.42,28672,2.02,12587,7.6,6.55,3.38,4.19,Brand,9,3488
Annie,19961,167.1,1,8.19,3.65,53.29,5.49,Middle,59.93,24739,1.53,12591,8.06,6.65,3.48,5.65,Annie,6,2896
Twisted Fate,19503,173.4,0,8.68,1.44,51.49,9.44,Middle,57.23,21495,1.97,12983,6.63,6.36,3.09,9.41,TwistedFate,20,2511
Vladimir,31284,191.7,15,7.44,10.85,49.11,5.81,Middle,47.49,23928,2.33,12185,6.03,6,2.83,3.11,Vladimir,30,23122
Ahri,19935,178.2,-1,8.33,0.83,52.55,7.11,Middle,75.39,24602,2.03,12629,7.32,5.66,3.5,12.03,Ahri,4,4044
Ekko,26572,160.7,-16,7.03,44.78,45.91,7.73,Middle,39.15,21915,1.97,12308,7.68,6.88,3.39,3.53,Ekko,43,5351
Lux,15796,172.5,4,10.08,0.37,49.59,6.39,Middle,60.5,25194,1.6,12634,7.16,5.79,3.53,7.67,Lux,12,1933
Viktor,17657,202.2,3,7.06,1.97,51.22,12.25,Middle,49.39,26109,2.48,12937,7.08,5.64,3.49,12.03,Viktor,2,1933
Azir,20170,194.1,-15,7.02,16.78,46.39,11.75,Middle,46.6,24485,2.27,12549,6.17,6.3,2.83,11.75,Azir,29,2318
